Word :                         -file : res/textfile.txt -line : 284                        -Total frequency : 3
Word : a                       -file : res/textfile.txt -line : 1,2,3,7,8,12,13,14,16,17,18,23,27,28,29,31,32,33,34,36,37,41,43,44,45,46,47,50,51,53,55,56,57,58,59,60,61,62,65,68,69,70,71,73,76,79,80,82,83,84,85,86,87,90,91,92,94,95,96,98,99,100,104,105,106,107,108,111,112,113,114,115,117,119,120,121,123,125,128,129,130,132,133,134,138,139,140,142,144,145,146,147,148,149,150,151,152,157,158,161,165,167,168,170,172,173,174,175,176,181,182,183,184,186,187,188,189,190,191,192,193,194,195,196,197,199,200,201,202,204,205,207,208,210,211,212,213,215,218,221,223,224,225,228,229,230,232,233,235,236,237,238,239,240,241,244,247,248,249,250,251,252,253,255,256,257,260,263,265,266,267,268,269,271,272,274,276,277,278,279,280,282,285,286,288,291,292,293,295,296,297,298,299,301,302,303,304,306,308,309,312,313,314,315,316,317,320,321,322,323,324,327,329,330,331,332,333,334,335,336,337,338,339,340,341,343,346,349,350,351,353,354,356,357,359,362,365,367,368,369,370,371,372,373,374,375 -Total frequency : 741
Word : aA                      -file : res/textfile.txt -line : 306                        -Total frequency : 1
Word : able                    -file : res/textfile.txt -line : 45                         -Total frequency : 1
Word : abnormally              -file : res/textfile.txt -line : 369                        -Total frequency : 1
Word : aborigines              -file : res/textfile.txt -line : 38                         -Total frequency : 1
Word : about                   -file : res/textfile.txt -line : 1,3,8,11,14,17,30,39,40,48,51,53,56,57,61,62,75,80,96,99,104,116,133,134,146,167,176,178,182,183,192,193,201,207,215,223,229,237,239,251,256,266,269,271,286,292,296,300,301,317,320,323,330,340,341,343,367,368,370,372,373,375 -Total frequency : 77
Word : above                   -file : res/textfile.txt -line : 13,41,56,90,133,174,182,183,214,343,364 -Total frequency : 12
Word : abruptly                -file : res/textfile.txt -line : 77,90,120,127,134,306      -Total frequency : 6
Word : accent                  -file : res/textfile.txt -line : 167,309                    -Total frequency : 2
Word : accept                  -file : res/textfile.txt -line : 375                        -Total frequency : 1
Word : accepted                -file : res/textfile.txt -line : 119                        -Total frequency : 1
Word : accepting               -file : res/textfile.txt -line : 222                        -Total frequency : 1
Word : accidents               -file : res/textfile.txt -line : 371                        -Total frequency : 2
Word : according               -file : res/textfile.txt -line : 341                        -Total frequency : 1
Word : accuse                  -file : res/textfile.txt -line : 252                        -Total frequency : 1
Word : achieved                -file : res/textfile.txt -line : 306                        -Total frequency : 1
Word : acknowledged            -file : res/textfile.txt -line : 16                         -Total frequency : 1
Word : acquainted              -file : res/textfile.txt -line : 312                        -Total frequency : 1
Word : across                  -file : res/textfile.txt -line : 2,21,52,55,62,71,101,105,111,139,181,191,254,291,302,324,330,333,374 -Total frequency : 20
Word : act                     -file : res/textfile.txt -line : 41,253                     -Total frequency : 2
Word : active                  -file : res/textfile.txt -line : 95                         -Total frequency : 1
Word : actively                -file : res/textfile.txt -line : 28                         -Total frequency : 2
Word : actually                -file : res/textfile.txt -line : 195,199                    -Total frequency : 2
Word : acute                   -file : res/textfile.txt -line : 17                         -Total frequency : 1
Word : acuteness               -file : res/textfile.txt -line : 202                        -Total frequency : 1
Word : ad                      -file : res/textfile.txt -line : 69                         -Total frequency : 1
Word : Adam                    -file : res/textfile.txt -line : 359                        -Total frequency : 1
Word : add                     -file : res/textfile.txt -line : 98,297                     -Total frequency : 2
Word : added                   -file : res/textfile.txt -line : 6,50,136,146,161,200,216,263,304,320,340 -Total frequency : 11
Word : addition                -file : res/textfile.txt -line : 140                        -Total frequency : 1
Word : admirably               -file : res/textfile.txt -line : 95                         -Total frequency : 1
Word : admiration              -file : res/textfile.txt -line : 18,78,277                  -Total frequency : 4
Word : admire                  -file : res/textfile.txt -line : 282,371                    -Total frequency : 2
Word : admired                 -file : res/textfile.txt -line : 277,333                    -Total frequency : 2
Word : admit                   -file : res/textfile.txt -line : 71,195,215,237,252,320,323,354,375 -Total frequency : 11
Word : admits                  -file : res/textfile.txt -line : 295                        -Total frequency : 1
Word : admitted                -file : res/textfile.txt -line : 51,233,318                 -Total frequency : 3
Word : admitting               -file : res/textfile.txt -line : 215                        -Total frequency : 1
Word : advance                 -file : res/textfile.txt -line : 14                         -Total frequency : 1
Word : Advancing               -file : res/textfile.txt -line : 349                        -Total frequency : 1
Word : adventurer              -file : res/textfile.txt -line : 184,266                    -Total frequency : 2
Word : adventures              -file : res/textfile.txt -line : 296                        -Total frequency : 1
Word : advise                  -file : res/textfile.txt -line : 205                        -Total frequency : 1
Word : advised                 -file : res/textfile.txt -line : 302                        -Total frequency : 1
Word : aesthete                -file : res/textfile.txt -line : 95,167                     -Total frequency : 2
Word : afar                    -file : res/textfile.txt -line : 56                         -Total frequency : 1
Word : affairs                 -file : res/textfile.txt -line : 146                        -Total frequency : 1
Word : affectations            -file : res/textfile.txt -line : 277                        -Total frequency : 1
Word : affected                -file : res/textfile.txt -line : 161,370                    -Total frequency : 2
Word : affirmed                -file : res/textfile.txt -line : 295                        -Total frequency : 1
Word : afforded                -file : res/textfile.txt -line : 140                        -Total frequency : 1
Word : afraid                  -file : res/textfile.txt -line : 21,78,82,121,137,233,282,354,357 -Total frequency : 9
Word : Africa                  -file : res/textfile.txt -line : 14,59                      -Total frequency : 2
Word : African                 -file : res/textfile.txt -line : 269                        -Total frequency : 1
Word : after                   -file : res/textfile.txt -line : 17,20,26,38,46,68,71,76,82,85,92,112,113,114,140,144,146,191,192,195,201,208,211,215,254,258,269,295,297,301,302,303,306,312,333,336,338,346,372,375 -Total frequency : 48
Word : afterthought            -file : res/textfile.txt -line : 263                        -Total frequency : 1
Word : afterward               -file : res/textfile.txt -line : 276,318,370                -Total frequency : 3
Word : afterwards              -file : res/textfile.txt -line : 28                         -Total frequency : 1
Word : Again                   -file : res/textfile.txt -line : 1,8,56,86,94,95,114,121,122,125,132,133,138,139,159,163,174,177,190,194,215,256,278,301,304,306,318,341,346,349,356,357,367,370 -Total frequency : 41
Word : against                 -file : res/textfile.txt -line : 1,13,51,91,119,131,133,197,223,233,237,240,252,321,341,359,370 -Total frequency : 20
Word : agent                   -file : res/textfile.txt -line : 95                         -Total frequency : 1
Word : Ages                    -file : res/textfile.txt -line : 56,83,343                  -Total frequency : 5
Word : aggressive              -file : res/textfile.txt -line : 1                          -Total frequency : 1
Word : ago                     -file : res/textfile.txt -line : 12,34,43,88,308            -Total frequency : 5
Word : agree                   -file : res/textfile.txt -line : 253,316                    -Total frequency : 2
Word : agreeable               -file : res/textfile.txt -line : 98                         -Total frequency : 1
Word : agreed                  -file : res/textfile.txt -line : 73,356                     -Total frequency : 2
Word : Ah                      -file : res/textfile.txt -line : 125,157,348                -Total frequency : 3
Word : ahead                   -file : res/textfile.txt -line : 328                        -Total frequency : 1
Word : aims                    -file : res/textfile.txt -line : 369                        -Total frequency : 1
Word : air                     -file : res/textfile.txt -line : 54,91,173,174,183,189,201,306,332,340,343 -Total frequency : 11
Word : al                      -file : res/textfile.txt -line : 306                        -Total frequency : 1
Word : alacrity                -file : res/textfile.txt -line : 348                        -Total frequency : 1
Word : alarming                -file : res/textfile.txt -line : 287                        -Total frequency : 1
Word : alas                    -file : res/textfile.txt -line : 3                          -Total frequency : 1
Word : ale                     -file : res/textfile.txt -line : 305,306                    -Total frequency : 2
Word : alert                   -file : res/textfile.txt -line : 201                        -Total frequency : 1
Word : alertly                 -file : res/textfile.txt -line : 134                        -Total frequency : 1
Word : alive                   -file : res/textfile.txt -line : 240,269                    -Total frequency : 3
Word : all                     -file : res/textfile.txt -line : 16,17,24,26,28,31,35,38,46,51,56,60,70,71,78,80,82,98,105,110,113,116,119,120,125,133,134,144,146,148,151,161,165,167,170,174,178,189,192,194,195,201,204,207,215,223,225,227,232,233,237,253,258,269,271,272,278,282,288,295,296,306,312,316,317,322,323,333,338,339,341,351,352,354,356,357,359,361,368,369,370,371,372,373,375 -Total frequency : 127
Word : alleging                -file : res/textfile.txt -line : 318                        -Total frequency : 1
Word : allegory                -file : res/textfile.txt -line : 61,62                      -Total frequency : 2
Word : alliterative            -file : res/textfile.txt -line : 7                          -Total frequency : 1
Word : allow                   -file : res/textfile.txt -line : 17                         -Total frequency : 1
Word : allowances              -file : res/textfile.txt -line : 8                          -Total frequency : 1
Word : almost                  -file : res/textfile.txt -line : 1,2,13,16,42,56,86,94,113,133,135,174,183,195,201,232,269,297,332 -Total frequency : 21
Word : aloft                   -file : res/textfile.txt -line : 133,182,223                -Total frequency : 3
Word : alone                   -file : res/textfile.txt -line : 300,306,367                -Total frequency : 4
Word : along                   -file : res/textfile.txt -line : 8,13,26,27,29,76,113,119   -Total frequency : 8
Word : aloud                   -file : res/textfile.txt -line : 95                         -Total frequency : 2
Word : already                 -file : res/textfile.txt -line : 1,2,12,16,33,38,113,124,145,193,210,211,302,312,330,372,373 -Total frequency : 17
Word : also                    -file : res/textfile.txt -line : 12,21,70,95,114,119,169,174,199,208,285,296,322,338 -Total frequency : 15
Word : altar                   -file : res/textfile.txt -line : 269                        -Total frequency : 1
Word : alternative             -file : res/textfile.txt -line : 191                        -Total frequency : 1
Word : altogether              -file : res/textfile.txt -line : 296,372                    -Total frequency : 2
Word : always                  -file : res/textfile.txt -line : 1,3,103,144,201,274,288,293,295,306,321 -Total frequency : 13
